Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2",Pkg0402_3,3,100n,
"C11, C3",Pkg0603,2,10u,
"C12, C4, C5, C6",Pkg0402,4,1u,
"C7, C8",Pkg0402_3,2,4.7u,
H1,HDR_TH_10P_P1_27_V_F_R2_C5_S1_27_1,1,~,
J1,LP_TYPE_C_31_M_12,1,~,
JITX1,JITX_SM_LP,1,~,
"Q1, Q2",SOT95P280X100_3N,2,~,
"R1, R2",Pkg0402_2,2,5K1,
"R10, R11, R7, R8, R9",Pkg0402_2,5,10K,
"R12, R13",Pkg0402_1,2,150R,
R14,Pkg0402_2,1,43R,
R3,Pkg0402_2,1,100K,
R4,Pkg0402_2,1,4K7,
"R5, R6",Pkg0402_2,2,8K2,
"TP1, TP10, TP11, TP12, TP13, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",SMD_TESTPT,13,~,
U1,SOT95P280X145_6N,1,~,
U2,SOT95P280X145_5N,1,~,
U3,QFN24,1,~,
U4,SON100P300X300X80_7N,1,~,
U5,ESP32_WROOM,1,~,
U6,RGB_2020,1,~,
