Designator,Mid X,Mid Y,Rotation,Layer
C1,125.389755,-101.334607,270.0,top
C10,131.377858,-100.580479,180.0,top
C11,153.975688,-98.526263,90.0,top
C12,151.864764,-98.692454,270.0,top
C2,135.397938,-104.519104,180.0,top
C3,133.697125,-104.732114,90.0,top
C4,132.366033,-102.812299,0.0,top
C5,132.366167,-100.552497,180.0,top
C6,130.179028,-112.519201,270.0,top
C7,134.402079,-115.72827,90.0,top
C8,132.248704,-109.717788,0.0,top
H1,147.617087,-112.667096,270.0,bottom
J1,130.489613,-103.622473,270.0,top
JITX1,137.603101,-117.898677,270.0,bottom
Q1,126.601692,-113.786417,60.0,top
Q2,129.763792,-115.621965,240.0,top
R1,124.705386,-98.469392,90.0,top
R10,127.742667,-115.446608,150.0,top
R11,128.556678,-114.047693,150.0,top
R12,134.512806,-116.613382,270.0,top
R13,134.512761,-117.482973,270.0,top
R14,134.513963,-118.36375,270.0,top
R2,124.715123,-99.413639,90.0,top
R3,125.344077,-100.448284,270.0,top
R4,124.49078,-113.43487,330.0,top
R5,132.841202,-98.803087,90.0,top
R6,135.142332,-98.804707,270.0,top
R7,135.141011,-109.216096,90.0,top
R8,135.152382,-110.026709,90.0,top
R9,150.230042,-98.692368,90.0,top
TP1,148.130106,-103.754502,180.0,bottom
TP10,131.191735,-99.069119,180.0,bottom
TP11,152.209289,-107.247096,180.0,bottom
TP12,152.202865,-109.813036,0.0,bottom
TP13,141.543521,-99.266964,0.0,bottom
TP2,153.615092,-112.06625,180.0,bottom
TP3,153.646783,-114.539455,90.0,bottom
TP4,126.544729,-108.893849,270.0,bottom
TP5,125.96791,-105.99776,270.0,bottom
TP6,139.040828,-111.54536,180.0,bottom
TP7,151.397495,-103.004773,270.0,bottom
TP8,153.597747,-104.533301,270.0,bottom
TP9,128.317426,-99.104126,0.0,bottom
U1,133.869597,-106.698656,90.0,top
U2,134.14015,-101.680258,0.0,top
U3,133.648641,-112.931135,270.0,top
U4,129.03036,-100.112036,0.0,top
U5,149.717938,-109.022363,270.0,top
U6,131.955821,-117.029046,240.0,top
